date,A,AMZN,CAT,GDP,MSFT,NFLX,TSLA,XOM
2011-08-10,21.729365851814,194.13,69.360744738552,15.23,20.326687687584,33.20285714285714,23.82,56.130475276089
2011-08-11,23.544126076801,198.36,72.46706955381,16.25,21.158234002076,34.73285714285714,25.3,59.059524037372
2011-08-12,24.703935243146,202.3,74.59332397281,16.0,21.082638882577,34.857142857142854,26.31,59.406059383777
2011-08-15,25.584025728196,202.95,75.889010259388,16.67,21.427016649185,35.18285714285714,26.23,61.295502105845
2011-08-16,24.990476331301,197.68,74.211262631896,16.34,21.427016649185,34.14857142857142,26.1,60.643685620939
2011-08-17,24.424216561851,195.93,72.790991125454,16.85,21.33826569265,33.177142857142854,25.83,61.188241165291
2011-08-18,21.988617312526,182.52,69.211242474716,15.16,20.85224854972,31.068571428571424,24.26,58.531470176183
2011-08-19,21.204040523528,178.93,66.420533549778,14.69,20.32819528256,29.315714285714286,22.3,57.59087423594
2011-08-22,20.808340925599,177.54,66.354088099185,13.89,20.269027978203,29.315714285714286,21.95,57.904406216021
2011-08-23,21.736188258675,193.55,68.920543628368,14.93,20.894510909974,31.36285714285714,22.96,60.775699086237
2011-08-24,22.568521895699,193.73,70.930518508829,15.32,21.046655406892,30.86142857142857,23.87,60.676688987264
2011-08-25,22.534409861395,192.03,69.144797024122,14.49,20.76772382921,30.832857142857144,23.11,59.216290027413
2011-08-26,23.789732723791,199.27,70.731182157048,14.87,21.342491928675,31.698571428571427,23.73,59.934113244966
2011-08-29,25.051877993049,206.53,73.21458087299,15.99,21.841187779682,32.14785714285714,24.71,61.155237798966
2011-08-30,24.983653924441,210.92,74.609935335458,16.46,22.170834189669,33.754285714285714,24.63,60.981970125764
2011-08-31,25.154214095962,215.23,75.581700050392,16.02,22.483575655555,33.57285714285714,24.74,61.072729383156
2011-09-01,24.451506189294,212.54,73.546808125958,15.25,22.153929245568,33.324285714285715,24.0,60.635434779358
2011-09-02,23.469079601331,210.0,70.913907146181,14.87,21.807377891478,30.444285714285716,23.07,59.521571165912
2011-09-06,23.14160407201,216.18,71.179688948556,14.59,21.562256202,31.252857142857142,22.94,58.704737849386
2011-09-07,24.349170086381,219.9,73.663087664497,15.45,21.976427332497,30.857142857142854,23.84,60.767448244656
2011-09-08,23.291697022949,217.26,72.292650246001,14.88,22.162381717618,30.171428571428567,23.61,60.082628393426
2011-09-09,22.759549287803,211.39,69.734500398142,14.13,21.756663059172,29.138571428571428,22.97,58.58922606725
2011-09-12,22.793661322107,216.56,69.659749266224,14.31,21.883450139937,30.007142857142856,22.88,59.27404591848
2011-09-13,23.728331062044,219.53,70.614902618509,14.66,22.010237220701,29.82142857142857,24.08,59.11727992844
2011-09-14,24.956364296997,222.57,70.97204691545,14.98,22.399050935045,29.815714285714286,24.34,59.934113244966
2011-09-15,25.270195012596,226.78,71.927200267736,15.49,22.813222065542,24.178571428571427,24.82,61.064478541574
2011-09-16,24.806271346058,239.3,71.34580257504,15.34,22.923104202205,22.169999999999998,25.8,61.510023986953
2011-09-19,23.851134385539,241.69,70.266064002892,15.14,22.999176450664,20.535714285714285,25.77,60.808702452561
2011-09-20,23.912536047287,233.25,69.485329958415,14.91,22.804769593491,18.575714285714284,26.01,61.064478541574
2011-09-21,22.002262126248,231.87,65.913886989001,14.75,21.967974860446,18.357142857142858,25.85,59.381306859034
2011-09-22,21.347311067606,223.23,61.378984985978,13.46,21.181894959707,18.361428571428572,25.63,57.128827107399
2011-09-23,21.61338493518,223.61,61.345762260681,12.82,21.181894959707,18.48,26.38,57.186582998467
2011-09-26,22.0977758223,229.85,63.829160976622,13.08,21.503088897644,18.888571428571428,25.52,59.175035819507
2011-09-27,22.89599742502,224.21,64.510226845208,13.99,21.697495754816,18.212857142857143,26.19,60.156885967656
2011-09-28,21.586095307736,229.71,62.359055382235,12.84,21.617197270332,18.162857142857142,24.59,59.463815274845
2011-09-29,22.186467111491,222.44,62.616531503286,12.62,21.511541369695,16.169999999999998,24.12,60.95721760102
2011-09-30,21.320021440163,216.23,61.329150898032,11.82,21.038202934841,16.18142857142857,24.39,59.925862403385
2011-10-03,20.057876170905,211.98,58.596581742364,10.77,20.733913941006,16.178571428571427,23.73,58.704737849386
2011-10-04,21.156283675503,212.5,60.249412325884,11.51,21.418564177134,16.414285714285715,23.66,60.090879235007
2011-10-05,21.913570837057,219.498,61.677989513649,12.34,21.883450139937,17.108571428571427,25.37,61.014973492088
2011-10-06,22.882352611298,221.51,64.028497328403,12.7,22.26381138223,17.605714285714285,26.96,60.965468442602
2011-10-07,21.401890322493,224.74,62.724505360501,12.1,22.187739133771,16.744285714285713,26.99,60.693190670426
2011-10-10,22.725437253499,231.32,65.722856318544,13.3,22.770959705288,15.945714285714285,27.88,62.93741958048
2011-10-11,23.148426478871,235.48,66.99362556115,13.2,22.821674537593,15.522857142857141,27.61,62.929168738899
2011-10-12,23.046090375959,236.81,67.857416418868,13.49,22.78786464939,16.23142857142857,27.8,63.663493639615
2011-10-13,22.152355077187,236.15,67.641468704439,14.43,22.973819034511,16.715714285714284,27.94,63.011677154709
2011-10-14,22.745904474081,246.71,69.842474255357,15.1,23.049891282969,16.577142857142857,28.05,64.447323589817
2011-10-17,22.561699488838,242.33,67.707914155032,14.93,22.804769593491,16.76142857142857,27.42,63.919269728628
2011-10-18,22.841418170133,243.88,70.365732178782,15.85,23.083701171173,15.96285714285714,28.34,65.090889233142
2011-10-19,22.507120233951,231.53,69.402273145173,15.18,22.931556674256,15.631428571428572,27.57,64.711350520412
2011-10-20,23.011978341654,233.61,70.365732178782,15.22,22.855484425797,15.925714285714285,27.34,64.942374084682
2011-10-21,24.062628998226,234.78,72.97960283769,15.86,22.956914090409,16.72,28.03,66.113993589196
2011-10-24,25.611315355639,237.61,76.637351555268,16.67,22.982271506562,16.977142857142855,28.55,66.14699695552
2011-10-25,24.512907851042,227.15,75.067358955029,15.32,22.661077568625,11.052857142857142,28.25,65.544685520101
2011-10-26,24.41739415499,198.4,76.470331065881,16.13,22.475123183504,11.342857142857143,27.98,66.889572697817
